1522398767728,1,4,7
1522398767835,1,5,7
1522398767938,1,4,7
1522398768044,1,5,7
1522398768150,1,4,7
1522398768257,1,5,7
1522398768362,1,4,7
1522398768468,1,5,7
1522398768572,1,4,7
1522398768679,1,5,7
1522398768996,2,2,2,180,292
1522398768997,2,3,2,180,292
1522398769003,2,4,2
1522398769108,2,5,2
1522398769214,2,4,2
1522398769320,2,5,2
1522398769427,2,4,2
1522398769537,2,5,2
1522398769643,2,4,2
1522398769750,2,5,2
1522398769856,2,4,2
1522398769966,2,5,2
1522398770072,2,4,2
1522398770189,2,5,2
1522398770294,2,4,2
1522398770398,2,5,2
1522398770503,2,4,2
1522398770610,2,5,2
1522398770716,2,4,2
1522398770823,2,5,2
1522398770927,2,4,2
1522398771034,2,5,2
1522398771139,2,4,2
1522398771244,2,5,2
1522398771570,3,2,2,180,363
1522398771572,3,3,2,180,363
1522398771584,3,4,2
1522398771692,3,5,2
1522398771799,3,4,2
1522398771928,3,5,2
1522398772044,3,4,2
1522398772147,3,5,2
1522398772252,3,4,2
1522398772367,3,5,2
1522398772473,3,4,2
1522398772580,3,5,2
1522398772682,3,4,2
1522398772788,3,5,2
1522398772892,3,4,2
1522398773004,3,5,2
1522398773109,3,4,2
1522398773212,3,5,2
1522398773317,3,4,2
1522398773422,3,5,2
1522398773526,3,4,2
1522398773633,3,5,2
1522398773738,3,4,2
1522398773843,3,5,2
1522398773949,3,4,2
1522398774056,3,5,2
1522398774377,4,2,2,180,434
1522398774379,4,3,2,180,434
1522398774399,4,4,2
1522398774506,4,5,2
1522398774608,4,4,2
1522398774714,4,5,2
1522398774817,4,4,2
1522398774922,4,5,2
1522398775026,4,4,2
1522398775142,4,5,2
1522398775249,4,4,2
1522398775356,4,5,2
1522398775461,4,4,2
1522398775566,4,5,2
1522398775672,4,4,2
1522398775780,4,5,2
1522398775886,4,4,2
1522398775991,4,5,2
1522398776098,4,4,2
1522398776206,4,5,2
1522398776311,4,4,2
1522398776419,4,5,2
1522398776524,4,4,2
1522398776631,4,5,2
1522398776738,4,4,2
1522398776843,4,5,2
1522398777169,5,2,2,76,473
1522398777170,5,3,2,76,473
1522398777218,6,2,7,180,565
1522398777220,6,3,7,180,565
